Ingredient,Frequency
"Hippophae Rhamnoides Fruit Oil",26
"SYNTHETIC WAX",25
"SODIUM LAURETH SULFATE",25
"TRIETHOXYCAPRYLYLSILANE",25
"Coffea Arabica (Coffee) Seed Extract",25
"Castanea Crenata (Chestnut) Shell Extract",25
"Leucine",25
"Ethylhexyl Methoxycinnamate",25
"Lavandula Angustifolia (Lavender) Oil",25
"Santalum Album (Sandalwood) Oil",25
"Dibutyl Adipate",24
"Bisabolol",24
"Coumarin",24
"CERAMIDE AP",24
"GLYCOLIC ACID",24
"GLYCINE",24
"Cyanocobalamin",24
"Citrus Paradisi (Grapefruit) Peel Oil",24
"Rosmarinus Officinalis (Rosemary) Leaf Oil",24
"Chamomilla Recutita (Matricaria) Flower Extract",24
"Pentaerythrityl Tetra-di-t-butyl Hydroxyhydrocinnamate",23
"Behenyl Alcohol",23
"CERAMIDE EOP",23
"Diospyros Kaki Leaf Extract",23
"Carthamus Tinctorius (Safflower) Flower Extract",23
"Su",22
"Parfüm",22
"Lecithin",22
"Butyrospermum Parkii Butter",22
"Juniperus Virginiana Oil",22
"Riboflavin",22
"Lavandula Hybrida Oil",22
"Prunus Persica (Peach) Fruit Extract",22
"Lauryl Glucoside",21
"Ceteareth-20",21
"ZINC OXIDE",21
"Selaginella Tamariscina Extract",21
"Gypsophila Paniculata Root Extract",21
"Passiflora Incarnata Extract",21
"Albizia Julibrissin Bark Extract",21
"Peucedanum Graveolens (Dill) Extract",21
"Cupressus Sempervirens Leaf/Nut/Stem Oil",21
"Palmitoyl Pentapeptide-4",21
"Palmitoyl Tripeptide-1",21
"Biosaccharide Gum-1",21
"Panax Ginseng Root Extract",21
"Sodium Stearoyl Glutamate",20
"TRIETHYLHEXANOIN",20
"Polyglyceryl-2 Triisostearate",20
"Trihydroxystearin",20
"Glucomannan",20
"Polyglyceryl-3 Methylglucose Distearate",20
"Black Strap Powder",20
"Cetyl Palmitate",19
"Caffeine",19
"CAPRYLOYL SALICYLIC ACID",19
"SODIUM LAUROYL LACTYLATE",19
"GLYCERYL BEHENATE",19
"GLYCERYL DIBEHENATE",19
"DISTEARDIMONIUM HECTORITE",19
"CETEARYL OLIVATE",19
"Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer",19
"Fucus Vesiculosus Extract",19
"Prunella Vulgaris Extract",19
"Rosa Canina Fruit Oil",19
"Palmitoyl Tetrapeptide-7",19
"Glycol Distearate",19
"Calophyllum Inophyllum Seed Oil",19
"Scutellaria Baicalensis Root Extract",19
"Hamamelis Virginiana (Witch Hazel) Leaf Extract",19
"HYDROXYPROPYLTRIMONIUM HYALURONATE",19
"POTASSIUM HYALURONATE",19
"Isopropyl Palmitate",18
"Alumina",18
"Paraffinum Liquidum",18
"COCO-BETAINE",18
"ZINC PCA",18
"SERINE",18
"POLYACRYLATE-13",18
"HELIANTHUS ANNUUS (SUNFLOWER) SEED OIL (HELIANTHUS ANNUUS SEED OIL)",18
"Glyceryl Acrylate/Acrylic Acid Copolymer",18
"Hydrogenated Poly(C6-14 Olefin)",18
