Ingredient,Frequency
"Buğday Nişastası",4
"Sodyum Lauroil Sarkosinat",4
"Glisin",4
"PEG-120 Metil Glukoz Dioleat",4
"Sodyum Karbomer",4
"Sodium Carbomer",4
"Decylene Glycol",4
"Hydroxypropyl Methylcellulose",4
"Creatine",4
"Isobutylamido Thiazolyl Resorcinol",4
"PPG-14 Butyl Ether",4
"C20-40 Alkyl Stearate",4
"Oleth-20",4
"PPG-15 Stearyl Ether",4
"Cyclomethicone",4
"Acrylates/Octylacrylamide Copolymer",4
"Propylheptyl Caprylate",4
"C12-22 ALKYL ACRYLATE/HYDROXYETHYLACRYLATE COPOLYMER",4
"AMMONIUM POLYACRYLDIMETHYLTAURAMIDE / AMMONIUM POLYACRYLOYLDIMETHYL TAURATE",4
"PEG-150 PENTAERYTHRITYL TETRASTEARATE",4
"ISOCETYL STEARATE",4
"COPOLYMER",4
"ALKYL ACRYLATE CROSSPOLYMER",4
"ORYZA SATIVA BRAN OIL / RICE BRAN OIL",4
"CI 77499 / IRON OXIDES",4
"Hydrolyzed Myrtus Communis Leaf Extract",4
"COCAMIDOPROPYL HYDROXYSULTAINE",4
"ASPARAGOPSIS ARMATA EXTRACT",4
"PEG-12",4
"BUTYROSPERMUM PARKII (SHEA) OIL (BUTYROSPERMUM PARKII OIL)",4
"COPPER SULFATE",4
"HYDROXYCAPRIC ACID",4
"ISODECYL NEOPENTANOATE",4
"PEG-32",4
"STEARALKONIUM HECTORITE",4
"Diphenylsiloxy Phenyl Trimethicone",4
"CI 45410",4
"Simethicone",4
"Cnidium Officinale Root Extract",4
"Dioscorea Opposita (Wild Yam) Root Extract",4
"Nelumbo Nucifera Root Extract",4
"Phaseolus Radiatus Seed Extract",4
"Polygonum Fagopyrum (Buckwheat) Seed Extract",4
"Prunus Persica (Peach) Kernel Extract",4
"Tremella Fuciformis (Mushroom) Extract",4
"Triticum Vulgare (Wheat) Seed Extract",4
"Hydrolyzed Glycosaminoglycans",4
"Ammonium Laureth Sulfate",4
"Laureth-3",4
"Polyglyceryl-2 Stearate",4
"Pearl Powder",4
"Vitis Vinifera (Grape) Seed Powder",4
"Camphor",4
"PEG-240/HDI Copolymer Bis-Decyltetradeceth-20 Ether",4
"Cocos Nucifera (Coconut) Fruit Extract",4
"Lavandula Angustifolia (Lavender) Extract",4
"Mentha Rotundifolia Leaf Extract",4
"Cocos Nucifera (Coconut) Liquid Endosperm",4
"Theobroma Cacao (Cocoa) Extract",4
"Actinidia Chinensis (Kiwi) Fruit Extract",4
"Fragaria Vesca (Strawberry) Fruit Extract",4
"Cornus Officinalis Fruit Extract",4
"Sodium Lauroyl Oat Amino Acids",4
"Spinacia Oleracea (Spinach) Leaf Extract",4
"Petroselinum Sativum (Parsley) Extract",4
"Brassica Oleracea Capitata (Cabbage) Leaf Extract",4
"Styrene/VP Copolymer",4
"Aloe Barbadensis Leaf Water",4
"Mentha Arvensis Leaf Extract",4
"Coix Lacryma-Jobi Ma-yuen Seed Extract",4
"Chrysanthellum Indicum Extract",4
"Amyl Cinnamal",4
"Calamine",4
"CI 15985 / YELLOW 6",4
"GLYCOL",4
"Bifida Ferment Filtrate",4
"sh-Oligopeptide-1",4
"Fructose",4
"Alpha-glucan Oligosaccharide",4
"Phospholipids",4
"Rosmarinus Officinalis Leaf Extract",4
"Phragmites Karka Extract",4
"Hydroxypropyl Bispalmitamide Mea",4
"Monarda Didyma Leaf Extract",4
"Freesia Refracta Extract",4
"C12-14 Pareth-12",4
"t-Butyl Alcohol",4
"Oligopeptide-29",4
"Polyglutamic Acid",4
"Schisandra Chinensis Fruit Extract",4
"Perilla Ocymoides Leaf Extract",4
"Acorus Calamus Root Extract",4
"Camellia Japonica Seed Oil",4
"Vinyl Dimethicone",4
"Schizandra Chinensis Fruit Extract",4
"Dioscorea Japonica Root Extract",4
"Viola Mandshurica Flower Extract",4
"Hibiscus Syriacus Flower Extract",4
"Paeonia Suffruticosa Root Extract",4
"Spirulina Maxima Extract",4
"Hizikia Fusiforme Extract",4
"Ceramide AS",4
"Ceramide NS",4
"Charcoal Powder",4
"Limnanthes Alba (Meadowfoam) Seed Oil",4
"Oryza Sativa (Rice) Extract(2",4
"Hydrolyzed Soy Protein",4
"Hydrolyzed Gardenia Florida Extract",4
"Parfum (Fragrance)",4
"Avena Sativa Meal Extract",4
"Malus Domestica Fruit Extract",4
"Ananas Sativus Fruit Extract",4
"aktif bileşenlerin cilt bariyerini daha kolay aşmasını sağlayan bir etkili geçiş sistemi sunar. Standart formüller cildin yalnızca yüzeyine dokunurken",4
"lipoenzimler sayesinde içerikler cilt bariyerini geçip daha etkili alanlara ulaşabilir. Lipoenzim teknolojisi",4
"yaşlanma belirtilerinden nem kaybına kadar pek çok cilt problemine yönelik ürünlerde",4
"Vitis Vinifera Seed Extract",4
"Hylocereus Undatus Fruit Extract",4
"PEG-9 Diglycidyl Ether/Sodium Hyaluronate Crosspolymer",4
"Pentaerythrityl Distearate",4
"Polysorbate 2",4
"Coco Glucoside",4
"Guar Hydroxypropyltrimonium Chloride",4
"CI 16255",4
"Carbon Black",4
"Caviar Extract",4
"Oryza Sativa (Rice) Bran Wax",4
"Stearyl Behenate",4
"Lauryl Laurate",4
"Chrysin",4
"Dibütil Adipat",3
"Oktokrilen",3
"Titanyum Dioksit",3
"Bütil Metoksidibenzoilmetan",3
"VP/Eikosen Kopolimer",3
"Mikrokristalin Selüloz",3
"Bis-Etilheksiloksifenol Metoksifenil Triazin",3
"Dietilheksil Butamido Triazon",3
"Etilheksilgliserin",3
"Silika",3
"Selüloz Sakızı",3
"Setil Palmitat",3
"Disodyum EDTA",3
"Dehidroasetik Asit",3
"Titanium Dioxide (Nano)",3
"Sıvı Parafin",3
"Palmitik Asit",3
"Stearik Asit",3
"Talk",3
"Magnezyum Aspartat",3
"Alanin",3
"Lizin",3
"Lösin",3
"Aloe Vera Yaprağı Suyu",3
"Potasyum Sorbat",3
"Propilen Glikol",3
"Sodyum Hiyalüronat",3
"Myreth-3 Myristate",3
"Hydrolyzed Pearl",3
"Hydrogenated Coco-Glycerides",3
"Copernicia Cerifera Cera",3
"1-Methylhydantoin-2-Imide",3
"CI 17200",3
"Trideceth-9",3
"PEG/PPG/Polybutylene Glycol-8/5/3 Glycerin",3
"Hydrogenated Palm Glycerides",3
"Cera Microcristallina",3
"Polyglyceryl-3 Diisostearate",3
"Dimethyl Phenethyl Acetate",3
"PEG-6 CAPRYLIC/CAPRIC GLYCERIDES",3
"CROSSPOLYMER",3
"PARAFFINUM LIQUIDUM / MINERAL OIL",3
"Polyacrylamide",3
"C13-14 Isoparaffin",3
"Laureth-7",3
"SODIUM METHYL COCOYL TAURATE",3
"ZEA MAYS STARCH/CORN STARCH",3
"CETEARYL ETHYLHEXANOATE",3
"BETA-SITOSTEROL",3
"CAMELINA SATIVA SEED OIL",3
"HYDROGENATED PALM GLYCERIDES CITRATE",3
"C20-22 ALCOHOLS",3
"C20-22 ALKYL PHOSPHATE",3
"CETEARETH-6",3
"POLYETHYLENE",3
"RED 30 (CI 73360)",3
"TITANIUM DIOXIDE [NANO]",3
"YELLOW 5 (CI 19140)",3
"RIBES RUBRUM (CURRANT) FRUIT EXTRACT (RIBES RUBRUM FRUIT EXTRACT)",3
"RUBUS IDAEUS (RASPBERRY) FRUIT EXTRACT (RUBUS IDAEUS FRUIT EXTRACT)",3
"CAPRYLIC/CAPRIC GLYCERIDES",3
"MYRISTYL GLUCOSIDE",3
"DISODIUM COCO-GLUCOSIDE CITRATE",3
"CITRUS LIMON (LEMON) PEEL POWDER (CITRUS LIMON PEEL POWDER)",3
"PENTAERYTHRITYL TETRACAPRYLATE/TETRACAPRATE",3
"C9-12 ALKANE",3
"BETA-CARYOPHYLLENE",3
"VANILLA TAHITENSIS FRUIT EXTRACT",3
"TERPINEOL",3
"Calcium Titanium Borosilicate",3
"Lycopodium Clavatum Extract",3
"Ethyl Ascorbyl Ether",3
"Benzotriazolyl Dodecyl p-Cresol",3
"Vaccinium Angustifolium Fruit Extract",3
"Benzyl Glycol",3
"Ganoderma Lucidum Stem Extract",3
"Saccharomyces Cerevisiae Extract",3
"Mentha Arvensis Leaf Oil",3
"Sucrose Tetrastearate Triacetate",3
"Bentonite",3
"Lithium Magnesium Sodium Silicate",3
"Chromium Oxide Greens",3
"Dimethicone/Divinyldimethicone/Silsesquioxane Crosspolymer",3
"Elaeis Guineensis (Palm) Oil",3
"Linalool Raspberry Water",3
"Coumarin Shea Butter Water",3
"Linalool [Dazzling] Water(Aqua)",3
"Linalool [Greenery] Water(Aqua)",3
"Tetrasodium Glutamate Diacetate",3
"Juglans Regia (Walnut) Shell Powder",3
"Polyester-5",3
"Melaleuca Alternifolia (Tea Tree) Leaf Extract",3
"AQUA /WATER / EAU",3
"TRANEXAMIC ACID",3
"PEG-10 DIMETHICONE",3
"DIMETHICONE/PEG-10/15 CROSSPOLYMER",3
"LAUROYL LYSINE",3
"RHAMNOSE",3
"CASSIA ANGUSTIFOLIA SEED POLYSACCHARIDE",3
"Sesamum Indicum (Sesame) Seed Extract",3
"Morus Alba Bark Extract",3
"Folic Acid",3
"Thiamine HCl",3
"gluconic Acid",3
"Ethoxydiglycol",3
"Isopentyldiol",3
"Mandelic Acid",3
"3-0-Ethyl Ascorbic Acid",3
"Hydrolyzed Corn Starch",3
"Beta Vulgaris Root Extract",3
"Glycine Soja Sterols",3
"Alpha-arbutin",3
"Salix Purpurea Bark Extract",3
"Acmella Oleracea Extract",3
"Peg-20 Glyceryl Triisostearate",3
"Polysilicone-15",3
"Poncirus Trifoliata Fruit Extract",3
"Gold",3
"Hibiscus Syriacus Bark Extract",3
"Acetyl Tetrapeptide-2",3
"Opuntia Ficus-Indica Stem Extract",3
"Prunus Amygdalus Dulcis (Sweet Almond) Oil",3
"Inulin Lauryl Carbamate",3
"Polyquaternium-10",3
"Streptococcus Thermophilus Ferment",3
"Hydrolyzed Keratin",3
"Undaria Pinnatifida Extract",3
"Sodium Polyacryloyldimethyl Taurate",3
"Methyl Trimethicone",3
"Stellaria Media (Chickweed) Extract",3
"Helianthus Annuus (Sunflower) Flower Extract",3
"Iron Oxides",3
"Salvia Hispanica Seed Extract",3
"Polyquaternium-37",3
"Tuber Magnatum Extract",3
"Nelumbo Nucifera Flower Extract",3
"Citrus Aurantium Dulcis (Orange) Oil",3
"Litsea Cubeba Fruit Oil",3
"Melaleuca Alternifolia (Tea Tree) Leaf Water",3
"Phyllostachys Pubescens Shoot Bark Extract(2",3
"Phyllostachys Nigra Leaf Extract",3
"Sodium Gluconate",3
"Mannitol",3
"Coccinia Indica Fruit Extract",3
"Ocimum Sanctum Leaf Extract",3
"Hydrogenated Ethylhexyl Olivate",3
"Althaea Officinalis Root Extract",3
"Palmitoyl Tripeptide-8",3
"Dextran",3
"Saccharomyces/Zinc Ferment",3
"Magnolol",3
"Honokiol",3
"Apricot Kernel Oil Polyglyceryl-6 Esters",3
"Ginkgo Biloba Leaf Extract",3
"Persea Gratissima Fruit Extract",3
"aktif içeriklerin ciltle buluşma yolculuğunu kolaylaştıran özel bir sistem sunar. Standart formüller çoğu zaman yalnızca yüzeyde etki gösterirken",3
"Lactobacillus Lysate",3
"Citrus Aurantifolia Fruit Extract",3
"Salix Alba Bark Water",3
"Pyrus Malus Fruit Water",3
"Bromelain",3
"Salix Alba Bark Extract",3
"Panax Ginseng Seed Oil",3
"Musa Sapientum Fruit Extract",3
"Cannabis Sativa Seed Oil",3
"Ascorbyl Tetraisopalmitate",3
"Trisodium Phosphate",3
"Sodium Hexametaphosphate",3
"Xylityl Sesquicaprylate",3
"Centella Asiatica Flower/Leaf/Stem Extract",3
"Trideceth-12",3
"Lysolecithin",3
"Lavandula Angustifolia (Lavander) Herb Oil",3
"shea butteramidopropyl betaine",3
"salvia officinallis extract",3
"commiphora myrrha extract",3
"krameria triandra extract",3
"propolis cera",3
"sodium bicarbonate",3
"stevia rebaudina leaf powder",3
"citrus grandis extract",3
"chamomilla recutita extract",3
"Paraffınum Liquidum",3
"Xantam Gum",3
"OleaEuropea (Olive) Fruit Oil",3
"Mangifera İndica Fruit Exktract",3
"Acrylates/Methacrylamide Copolymer",3
"Camelia Japonica Seed Oil",3
"Phenoxyethenol",3
"Dietilamino Hidroksibenzoil Heksil Benzoat",2
"Kokogliseridler",2
"Bis Ethylhexyloxyphenol Methoxyphenyl Triazine",2
"Seteareth-20",2
"Mireth-3 Miristat",2
"Mentol",2
"CI 61570",2
"Bal Mumu",2
"Disodyum Lauril Sülfosüksinat",2
"Kolza Sterolleri",2
"Hidrolize İpek",2
"Sodyum Klorür",2
"Glikol Distearat",2
"Sodyum Lauroil Glutamat",2
"Güvercin Ağacı Kabuğu/Yaprağı/Dalı Ekstresi",2
"Karamel",2
"Hidroksipropil Oksitlenmiş Nişasta PG-Trimonyum Klorür",2
"Alkol",2
"Skualan",2
"Kaprilik/Kaprik Trigliserid",2
"Desil Oleat",2
"Laureth-23",2
"Laureth-4",2
"Cucumis Sativus Juice",2
"Polyglyceryl-6 Stearate",2
"Carnitine",2
"Polyglyceryl-6 Behenate",2
"CI 16035",2
"Pogostemon Cablin Oil",2
"Myristyl Myristate",2
"Polyacrylic Acid",2
"Magnesium Stearate",2
"Aluminum Sesquichlorohydrate",2
"Palmitamidopropyltrimonium Chloride",2
"Glyceryl Isostearate",2
"Tetramethyl Acetyloctahydronaphthalenes",2
"Linalyl Acetate",2
"Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate",2
"PEG-8 LAURATE",2
"POLYQUATERNIUM-47",2
"Instrumental test",2
"CARNOSINE",2
"SILICA [NANO] / SILICA",2
"DIMETHICONE / VINYL",2
"ACRYLAMIDE / SODIUM",2
"ACRYLOYLDI METHYLTAURATE",2
"METHYL METHACRYLATE",2
"ACRYLATES/C10-30",2
"PPG-5 PENTAERYTHRITYL ETHER",2
"PEG-5 PENTAERYTHRITYL ETHER",2
"POLYBUTENE",2
"GLYCINE SOJA / SOYBEAN STEROLS",2
"SODIUM SA CHARIN",2
"MYRISTYL MALATE PHOSPHONIC ACID",2
"PEG/PPG-18/18 DIMETHICONE",2
"G L Y C E R I N",2
"D I M E T H I C O N E",2
"LIMNANTHES ALBA SEED OIL / MEADOWFOAM SEED OIL",2
"MANNOS E",2
"BUT Y LENE G L Y C O L",2
"CERA MICROCRISTALLINA / MICROCRYSTALLINE WAX",2
"PENTAERYTHRITYL TETRA-DI-T-BUTYL H Y D R O X Y H Y D R O C I N N AMA T E",2
"MANNOSE",2
"SUCROSE TRISTEARATE",2
"STEARETH-10",2
"ISOBUTANE",2
"ACRYLATES /C10- 30 ALKYL ACRYLATE CROSSPOLYMER",2
"ACRYLONITRILE/METHYL METHACRYLATE/VINYLIDENE CHLORIDE COPOLYMER",2
"609967 04 - INGREDIENTS : AQUA",2
"METHYLDIHYDROJASMONATE",2
"ARGININE PCA",2
"HYDROLYZED LINSEED EXTRACT",2
"Trisiloxane",2
"AQUA/WATER/EAU",2
"DISODIUM COCOYL GLUTAMATE",2
"SODIUM COCOYL GLUTAMATE",2
"SODIUM LAUROYL SARCOSINATE",2
"HECTORITE",2
"CAPRYLIC/ CAPRIC TRIGLYCERIDE",2
"ORYZA SATIVA CERA/RICE BRAN WAX",2
"BUTYROSPERMUM PARKII BUTTER/SHEA BUTTER",2
"PENTAERYTHRITYL TETRA-DI-T-BUTYLHYDROXYHYDROCINNAMATE",2
"ALUMINUM STEARATE",2
"IRON OXIDES (CI 77492)",2
"SILK AMINO ACIDS",2
"DISODIUM STEAROYL GLUTAMATE",2
"SACCHARIN",2
"PEG-45/DODECYL GLYCOL COPOLYMER",2
"SILICA [NANO]",2
"POLYAMIDE-3",2
"CETYL ESTERS",2
"AQUAPHILUS DOLOMIAE EXTRACT FILTRATE",2
"ZINC COCETH SULFATE",2
"GREEN 5 (CI 61570)",2
"PPG-26-BUTETH-26",2
"CETRIMONIUM BROMIDE",2
"SODIUM SALICYLATE",2
"PHENYL TRIMETHICONE",2
"TROPOLONE",2
"DIUTAN GUM",2
"POLYGLYCERIN-3",2
"HYDROGENATED VEGETABLE GLYCERIDES CITRATE",2
"RETINAL",2
"TERMINALIA CHEBULA FRUIT EXTRACT",2
"ACACIA SENEGAL GUM",2
"GLYCOL PALMITATE",2
"SUCCINIC ACID",2
"IRON OXIDES (CI 77491)",2
"ZEA MAYS (CORN) STARCH (ZEA MAYS STARCH)",2
"PEG-7 TRIMETHYLOLPROPANE COCONUT ETHER",2
"SODIUM STEARATE",2
"Glycosyl Trehalose",2
"01CHOUBERRYBis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate",2
"Linalool 02SHYPAPAYAHydrogenated Polyisobutene",2
"Linalool 03ROSYBERRYBis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate",2
"Linalool 04MELLOWPEACHHydrogenated Polyisobutene",2
"Linalool 05BONBNOGRAPEBis-Behenyl/Isostearyl/Phytosteryl Dimer Dilinoleyl Dimer Dilinoleate",2
"Linalool 06DODOAPPLEHydrogenated Polyisobutene",2
"Linalool 07COCOCHERRYHydrogenated Polyisobutene",2
"Linalool 08HUSHFIGHydrogenated Polyisobutene",2
"Lauryl PEG-10 Tris(Trimethylsiloxy)silylethyl Dimethicone",2
"CI 77492(Iron Oxides)",2
"CI 77491(Iron Oxides)",2
"CI 77499(Iron Oxides)",2
"PEG-90M",2
"Cucurbita Maxima Fruit Extract",2
"PEG-33",2
"Moroccan Lava Clay",2
"Polyquaternium-39",2
"Pearl Extract",2
"Dipentaerythrityl Hexa C5-9 Acid Esters",2
"Polysilicone-11",2
"Alpha-Isomethyl Ionone*",2
"Potassium Laurate",2
"Hippophae Rhamnoides Oil",2
"Passion Fruit Water",2
"Limonene Cherry Water",2
"Fragrance Pineapple Water",2
"Benzyl Alcohol Peach Water (Aqua)",2
"Benzyl Salicylate Mango Water",2
"Linalool Coconut Water",2
"Acai Berry Water (Aqua)",2
"Fragrance (Parfum) Citron Water",2
"Linalool Cactus Water (Aqua)",2
"Limonene Raspberry Water(Aqua)",2
"[Earthy] Hydrogenated Polyisobutene",2
"Limonene [Greenery] Hydrogenated Polyisobutene",2
"Vanillyl Butyl Ether",2
"Red 27",2
"PEG-20 Glyceryl Isostearate",2
"Sodium Cocoyl Apple Amino Acids",2
"Acrylates/Vinyl Neodecanoate Crosspolymer",2
"Propylene Glycol Laurate",2
"Prunus Armeniaca (Apricot) Seed Powder",2
"Sodium Cocoyl Alaninate",2
"Saccharum Of cinarum (Sugarcane) Extract",2
"Ethyl Menthane Carboxamide",2
"Neopentyl Glycol Diethylhexanoate",2
"Triethoxy-caprylylsilane",2
"SODIUM",2
"EPERUA FALCATA BARK EXTRACT",2
"PALMITOYL",2
"TRISODIUMETHYLENEDIAMINEDISUCCINATE",2
"AMMONIUM",2
"NEOHESPERIDIN DIHYDROCHALCONE",2
"CALCIUM PANTOTHENATE",2
"ISOPROPYL ISOSTEARATE",2
"SODIUM POLYACRYLATE STARCH",2
"STEARICACID",2
"PARFUM/FRAGRANCE",2
"MINERAL SALTS",2
"AQUA /WATER",2
"C12-22",2
"ALKYL ACRYLATE/HYDROXYETHYLACRYLATE COPOLYMER",2
"CI 77492 / IRON OXIDES",2
"PENTYLENE",2
"CI 77491 / IRON OXIDES",2
"TRISODIUM ETHYLENEDIAMINE",2
"DISUCCINATE",2
"ACRYLATES / C10-30",2
"PARFUM /",2
"BUTYLMETHOXYDIBENZOYLMETHANE",2
"Lactococcus Ferment Lysate",2
"Pyridoxine",2
"coceth-7",2
"2hexanediol",2
"PPG-20 Methyl Glucose Ether",2
"Panthenol (Provitamin B5)",2
"Cyanocobalamin (Vitamin B12)",2
"Lactobionic Acid",2
"Punica Granatum (Pomegranate) Seed Extract",2
"Artemisia Absinthium (Wormwood) Extract",2
"Centella Asiatica (Gotu Kola) Extract",2
"Houttuynia Cordata (Chameleon Plant) Extract",2
"Arbutin",2
"Xantham Gum",2
"Ahnfeltia Concinna Extract",2
"PHRAGMITES COMMUNIS EXTRACT",2
"Zea Mays Starch",2
"Sodium Palmitate",2
"Sodium Lauroyl Glutamate",2
"Hypericum Perforatum Oil",2
"Artemisia Princeps Leaf Extract",2
"Bioflavonoids",2
"Lepidium Meyenii Root Extract",2
"Hydrolyzed Ginseng Saponins",2
"Adenium Obesum Leaf Cell Extract",2
"Opuntia Ficus-Indica Flower Extract",2
"Opuntia Ficus-Indica Fruit Extract",2
"Mineral Water(1",2
"Caulerpa Lentillifera Extract",2
"Fomes Officinalis (Mushroom) Extract",2
"Charcoal Powder(6.25 mg)",2
"Monascus Extract",2
"Camellia Sinensis Seed Oil",2
"Hydrolyzed Elastin",2
"Thuja Orientalis Extract",2
"Potassium Cocoate",2
"Sodium Palmitoyl Sarcosinate",2
"Copper Tripeptide-1Peptaronic Cream 55mlWater",2
"Melaleuca Alternifolia (Tea Tree) Extract",2
"Rumex Crispus Root Extract",2
"Myrciaria Dubia Fruit Extract",2
"Potassium Benzoate",2
"Anastatica Hierochuntica Extract",2
"Fructan",2
"Vaccinium Vitis-idaea Fruit Extract",2
"Iron Oxides(CI 77491)",2
"Swiftlet Nest Extract(1",2
"Flavor",2
"Neopentyl Glycol Diheptanoate",2
"Ocimum Basilicum (Basil) Flower/Leaf/Stem Extract",2
"Avena Sativa (Oat) Kernel Extract",2
"Sodium Palmitoyl Proline",2
"Nymphaea Alba Flower Extract",2
"Glycine Soja (Soybean) Oil",2
"Saussurea Involucrata Extract",2
"Lilium Candidum Flower Extract",2
"Leontopodium Alpinum Extract",2
"Bixa Orellana Seed Oil",2
"Polyurethane-15",2
"Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone",2
"Galactomyces Ferment Filtrate(1",2
"Bifida Ferment Filtrate(1",2
"Oryza Sativa (Rice) Lees Extract(100ppm)",2
"Nicotinamide Adenine Dinucleotide",2
"Oryza Sativa (Rice) Bran Oil",2
"Bambusa Vulgaris Water",2
"Tamarindus Indica Seed Gum",2
"Pyrus Communis (Pear) Fruit Extract",2
"Heptyl Undecylenate",2
"Rayon",2
"Ethylhexyl Olivate",2
"Polyglyceryl-4 Oleate",2
"Ultramarines (CI 77007)",2
"Corallina Officinalis Extract",2
"Curcuma Longa (Turmeric) Root Extract",2
"Spirulina Platensis Extract",2
"Algin",2
"Sea Silt",2
"Fragaria Chiloensis (Strawberry) Fruit Extract",2
"cilt bariyerinin esnekliğinin korunmasına yardımcı olur ve pürüzsüz",2
"kuru",2
"göz çevresi hariç ihtiyaç duyduğunuz miktarda nazikçe uygulayın.

Özellikle kuru ve hassas bölgelerde özeni elden bırakmayın.

Kremin cildiniz tarafından tamamen emilmesine nazikçe masaj yaparak izin verin.

Gün içinde gerekirse",2
"cildinizin konforunu artırmak için uygulamayı tekrarlayın.

Ürün İçeriği ve Aktif Bileşenler

Aqua",2
"Pentapeptide-34 Trifluoroacetate",2
"Hydrolyzed Garcinia Mangostana Fruit Extract",2
"Prunus Amygdalus Dulcis Seed Extract",2
"Glycyrrhiza Glabra (licorice) Stem Extract",2
"Brassica Oleracea Acephala Leaf Extract",2
"Sh-Polypeptide-9",2
"Sh-Oligopeptide-2",2
"Acetyl Glutamine",2
"Sh-Polypeptide-11",2
"akneli",2
"2-Hexandiol",2
"yağlı",2
"Potassium Olivoyl PCA",2
"Sodium Cocoyl Glycinate",2
"Mentha Piperita Oil",2
"temiz",2
"Paraffinium Liquidum",2
"Daucus Carota Sativa Seed Oil",2
"Prunus Armeniaca Kernel Oil",2
"Hydroxycitronella",2
"Morus Alba Root Extract",2
"Boswellia Serrata Extract",2
"Palmitoyl Oligopeptide",2
"Capryl Glycol",2
"Rosa Damascena Leaf Cell Extract",2
"Distearyl Ether",2
"Vinyltrimethylsiloxysilicate Crosspolymer",2
"Sucrose Dilaurate",2
"3-O Ethyl Ascorbic Acid",2
"Pisum Sativum (Pea) Extract",2
"Salvadora Persica Bark/Root Extract",2
"Bambusa Vulgaris Sap Extract",2
"Equisetum Arvense Leaf Extract",2
"Adiantum Capillus Veneris Leaf Extract",2
"Amodimethicone",2
"Viscum Album Leaf Extract",2
"Humulus Lupulus Extract",2
"Foeniculum Vulgare Fruit Extract",2
"Achillea Millefolium Extract",2
"Phalaenopsis Amabilis Flower Extract",2
"hydrogenated vegetable glycerides",2
"Palm Fatty Acid",2
"Olea Europaea Seed Oil",2
"Stevia RebaudianaLeaf Powder",2
"Hydrolyzed Corn Protein",2
"Cherry Flower Extract",2
"Polivinyl Alcohol",2
"Polysorbate-8",2
"Activated",2
"Gyceryl Stearate",2
"Isoamyl Laurate",2
"CI 14720",2
"Pseudozyma Epicola/Argania Spinosa Kernel Oil/Camellia Japonica Seed Oil/Camellia Sinensis Seed Oil/Sunflower Seed Oil/Sweet Almond Oil Ferment Extract Filtrate",2
"Acetum (Vinegar)",2
"PEG-4 Hydrogenated Castor Oil",2
"Polysorbate 8",2
"Benzophenone-4",2
"PEG-12 Dimethicone",2
"Azaleic Acid",2
"Zea Mays (Corn) Starch",2
"Xhanthan Gum",2
"Caprylic / Capric Triglyceride",2
"Lavandula Angustifolia Flower Oil",2
"Methylparaben",1
"Formaldehyde",1
"Triclosan",1
"Teobroma Kakao Yağı",1
"Glisirenitik Asit",1
"Sodyum Kokoil Glutamat",1
"Benzofenon-4",1
"Zeytinyağı",1
"Sodyum C14-16 Olefin Sülfonat",1
"Sakkarit İzomerat",1
"Niasinamid",1
"Piridoksin Hcl",1
"Sorbitan Laurat",1
"Laureth-6 Karboksilik Asit",1
"Desil Glukosit",1
"PEG/PPG-120/10 Trimetilolpropan Trioleat",1
"Magnezyum Sülfat",1
"Disodyum Kokoamfodiasetat",1
"Gliseril Laurat",1
"PEG-7 Gliseril Kokoat",1
"Koko Glukosid",1
"PEG-150 Distearat",1
"Sodyum Sitrat Stiren/Akrilat Kopolimeri",1
"Potasyum Sodyum",1
"Zeytinyağı PEG-7 Esterleri",1
"PEG-3 Distearat",1
"Kokoamidopropil Betain",1
"Sodyum Lauril Glukoz Karboksilat",1
"Sodyum PEG-7 Zeytinyağı Karboksilat",1
"Kokamidopropil Betainamid MEA Klorür",1
"Kokotrimonyum Metosülfat",1
"Sodyum Poliakrilat",1
"Gliseril Stearat SE",1
"Shea Yağı",1
"Pentilen Glikol",1
"Jojoba Yağı",1
"Behenil Alkol",1
"Setearil Glukosid",1
"Kloroksilenol",1
"Tavşanmemesi Kökü Ekstresi",1
"Kaplan Otu Yaprağı Ekstresi",1
"Aynısefa Çiçeği Ekstresi",1
"Hidrolize Maya Proteini",1
"At Kestanesi Ekstresi",1
"Amonyum Glisirizat",1
"PEG-40 Stearat",1
"Klorfenesin",1
"Vazelin",1
"Sodyum PCA",1
"Propilen Glikol Dikaprilat/Dikaprat",1
"Etilheksil Metoksisinnamat",1
"PPG-2 Miristil Eter Propionat",1
"PEG-20 Metil Glukoz Seskuistearat",1
"Metil Glukoz Seskuistearat",1
"Papatya Ekstresi",1
"Askorbil Palmitat",1
"Metil Paraben",1
"Propil Paraben",1
"Pirokton Olamin",1
"Laktik Asit",1
"Sitrik Asit",1
"PEG-18 Gliseril Oleat/Kokoat",1
"PEG-55 Propilen Glikol Oleat",1
"Trimethylcyclopentenyl Methylisopentenol",1
"Olus Oil",1
"Oryza Sativa Starch",1
"Parfum ᠎ Carnitine",1
"Pimpinella Anisum Fruit Extract",1
"Acetyl Hydroxyproline",1
"Ceratonia Siliqua Gum",1
"Corn Gluten Amino Acids",1
"Melissa Officinalis Flower/Leaf/Stem Water",1
"Mentha Piperita (Peppermint) Leaf Water",1
"Rosmarinus Officinalis (Rosemary) Leaf Water",1
"Sodium Polyglutamate",1
"Triisostearin",1
